Country_Code,Country,Year,Series,Value
1,"Total, all countries or areas",2010,Population annual rate of increase (percent),1.3
1,"Total, all countries or areas",2010,Total fertility rate (children per women),2.6
1,"Total, all countries or areas",2010,"Infant mortality for both sexes (per 1,000 live births)",37.1
1,"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",254
1,"Total, all countries or areas",2010,Life expectancy at birth for both sexes (years),70.1
1,"Total, all countries or areas",2010,Life expectancy at birth for males (years),67.6
1,"Total, all countries or areas",2010,Life expectancy at birth for females (years),72.7
1,"Total, all countries or areas",2015,Population annual rate of increase (percent),1.2
1,"Total, all countries or areas",2015,Total fertility rate (children per women),2.5
1,"Total, all countries or areas",2015,"Infant mortality for both sexes (per 1,000 live births)",31.5
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",227
1,"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),71.8
1,"Total, all countries or areas",2015,Life expectancy at birth for males (years),69.3
1,"Total, all countries or areas",2015,Life expectancy at birth for females (years),74.4
1,"Total, all countries or areas",2020,Population annual rate of increase (percent),0.9
1,"Total, all countries or areas",2020,Total fertility rate (children per women),2.3
1,"Total, all countries or areas",2020,"Infant mortality for both sexes (per 1,000 live births)",28.3
1,"Total, all countries or areas",2020,"Maternal mortality ratio (deaths per 100,000 population)",223
1,"Total, all countries or areas",2020,Life expectancy at birth for both sexes (years),72
1,"Total, all countries or areas",2020,Life expectancy at birth for males (years),69.4
1,"Total, all countries or areas",2020,Life expectancy at birth for females (years),74.8
1,"Total, all countries or areas",2022,Population annual rate of increase (percent),0.8
1,"Total, all countries or areas",2022,Total fertility rate (children per women),2.3
1,"Total, all countries or areas",2022,"Infant mortality for both sexes (per 1,000 live births)",27.5
1,"Total, all countries or areas",2022,Life expectancy at birth for both sexes (years),71.7
1,"Total, all countries or areas",2022,Life expectancy at birth for males (years),69.1
1,"Total, all countries or areas",2022,Life expectancy at birth for females (years),74.4
2,Africa,2010,Population annual rate of increase (percent),2.6
2,Africa,2010,Total fertility rate (children per women),4.9
2,Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",60.9
2,Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",593
2,Africa,2010,Life expectancy at birth for both sexes (years),58.6
2,Africa,2010,Life expectancy at birth for males (years),57
2,Africa,2010,Life expectancy at birth for females (years),60.2
2,Africa,2015,Population annual rate of increase (percent),2.6
2,Africa,2015,Total fertility rate (children per women),4.6
2,Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",52.5
2,Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",526
2,Africa,2015,Life expectancy at birth for both sexes (years),61.1
2,Africa,2015,Life expectancy at birth for males (years),59.3
2,Africa,2015,Life expectancy at birth for females (years),62.9
2,Africa,2020,Population annual rate of increase (percent),2.4
2,Africa,2020,Total fertility rate (children per women),4.4
2,Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",46.4
2,Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",487
2,Africa,2020,Life expectancy at birth for both sexes (years),62.2
2,Africa,2020,Life expectancy at birth for males (years),60.3
2,Africa,2020,Life expectancy at birth for females (years),64.2
2,Africa,2022,Population annual rate of increase (percent),2.3
2,Africa,2022,Total fertility rate (children per women),4.2
2,Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",44.2
2,Africa,2022,Life expectancy at birth for both sexes (years),62.2
2,Africa,2022,Life expectancy at birth for males (years),60.2
2,Africa,2022,Life expectancy at birth for females (years),64.1
15,Northern Africa,2010,Population annual rate of increase (percent),1.9
15,Northern Africa,2010,Total fertility rate (children per women),3.2
15,Northern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",29.5
15,Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",144
15,Northern Africa,2010,Life expectancy at birth for both sexes (years),69.6
15,Northern Africa,2010,Life expectancy at birth for males (years),67.5
15,Northern Africa,2010,Life expectancy at birth for females (years),71.8
15,Northern Africa,2015,Population annual rate of increase (percent),2.1
15,Northern Africa,2015,Total fertility rate (children per women),3.4
15,Northern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",25.3
15,Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",109
15,Northern Africa,2015,Life expectancy at birth for both sexes (years),70.9
