COUNTRY_CODE,RANKING,COUNTRY_NAME,MILLIONS_OF_US_DOLLARS
USA,1.0,United States,"25439700"
CHN,2.0,China,"17963171"
JPN,3.0,Japan,"4256411"
DEU,4.0,Germany,"4082469"
IND,5.0,India,"3416646"
GBR,6.0,United Kingdom,"3089073"
FRA,7.0,France,"2779092"
RUS,8.0,Russian Federation,"2240422"
CAN,9.0,Canada,"2161483"
ITA,10.0,Italy,"2049737"
BRA,11.0,Brazil,"1920096"
AUS,12.0,Australia,"1692957"
KOR,13.0,"Korea, Rep.","1673916"
MEX,14.0,Mexico,"1465854"
ESP,15.0,Spain,"1417800"
IDN,16.0,Indonesia,"1319100"
SAU,17.0,Saudi Arabia,"1108572"
NLD,18.0,Netherlands,"1009399"
TUR,19.0,Türkiye,"907118"
CHE,20.0,Switzerland,"818427"
POL,21.0,Poland,"688125"
ARG,22.0,Argentina,"631133"
NOR,23.0,Norway,"593349"
SWE,24.0,Sweden,"591718"
BEL,25.0,Belgium,"583436"
IRL,26.0,Ireland,"533140"
ISR,27.0,Israel,"525002"
ARE,28.0,United Arab Emirates,"507064"
THA,29.0,Thailand,"495423"
EGY,30.0,"Egypt, Arab Rep.","476748"
NGA,31.0,Nigeria,"472625"
AUT,32.0,Austria,"470942"
SGP,33.0,Singapore,"466788"
BGD,34.0,Bangladesh,"460201"
IRN,35.0,"Iran, Islamic Rep.","413493"
VNM,36.0,Viet Nam,"408802"
MYS,37.0,Malaysia,"407027"
ZAF,38.0,South Africa,"405271"
PHL,39.0,Philippines,"404284"
DNK,40.0,Denmark,"400167"
PAK,41.0,Pakistan,"374697"
HKG,42.0,"Hong Kong SAR, China","359839"
COL,43.0,Colombia,"343622"
CHL,44.0,Chile,"301025"
ROU,45.0,Romania,"300691"
CZE,46.0,Czech Republic,"290566"
FIN,47.0,Finland,"282650"
IRQ,48.0,Iraq,"264182"
PRT,49.0,Portugal,"255197"
NZL,50.0,New Zealand,"248102"
PER,51.0,Peru,"242632"
QAT,52.0,Qatar,"236258"
KAZ,53.0,Kazakhstan,"225496"
GRC,54.0,Greece,"217581"
DZA,55.0,Algeria,"194998"
HUN,56.0,Hungary,"177337"
KWT,57.0,Kuwait,"175363"
UKR,58.0,Ukraine,"160503"
MAR,59.0,Morocco,"130913"
ETH,60.0,Ethiopia,"126783"
SVK,61.0,Slovak Republic,"115462"
ECU,62.0,Ecuador,"115049"
OMN,63.0,Oman,"114667"
DOM,64.0,Dominican Republic,"113537"
PRI,65.0,Puerto Rico,"113435"
KEN,66.0,Kenya,"113420"
CUB,67.0,Cuba,"107352"
AGO,68.0,Angola,"106783"
GTM,69.0,Guatemala,"95003"
BGR,70.0,Bulgaria,"90346"
LUX,71.0,Luxembourg,"81642"
UZB,72.0,Uzbekistan,"80392"
AZE,73.0,Azerbaijan,"78721"
PAN,74.0,Panama,"76523"
TZA,75.0,Tanzania,"75732"
LKA,76.0,Sri Lanka,"74404"
GHA,77.0,Ghana,"73766"
BLR,78.0,Belarus,"72793"
HRV,79.0,Croatia,"71600"
URY,80.0,Uruguay,"71177"
LTU,81.0,Lithuania,"70974"
CIV,82.0,Côte d'Ivoire,"70019"
CRI,83.0,Costa Rica,"69244"
COD,84.0,"Congo, Dem. Rep.","64719"
SRB,85.0,Serbia,"63563"
MMR,86.0,Myanmar,"62263"
SVN,87.0,Slovenia,"60063"
TKM,88.0,Turkmenistan,"56543"
SDN,89.0,Sudan,"51662"
JOR,90.0,Jordan,"48653"
TUN,91.0,Tunisia,"46304"
LBY,92.0,Libya,"45752"
UGA,93.0,Uganda,"45567"
BHR,94.0,Bahrain,"44383"
BOL,95.0,Bolivia,"44008"
CMR,96.0,Cameroon,"43644"
PRY,97.0,Paraguay,"41722"
LVA,98.0,Latvia,"40932"
NPL,99.0,Nepal,"40828"
EST,100.0,Estonia,"38101"
SLV,101.0,El Salvador,"32489"
HND,102.0,Honduras,"31718"
PNG,103.0,Papua New Guinea,"31604"
TTO,104.0,Trinidad and Tobago,"30054"
KHM,105.0,Cambodia,"29505"
CYP,106.0,Cyprus,"29251"
ZMB,107.0,Zambia,"29164"
ISL,108.0,Iceland,"28065"
SEN,109.0,Senegal,"27684"
ZWE,110.0,Zimbabwe,"27367"
GEO,111.0,Georgia,"24781"
BIH,112.0,Bosnia and Herzegovina,"24474"
MAC,113.0,"Macao SAR, China","24042"
LBN,114.0,Lebanon,"23132"
YEM,115.0,"Yemen, Rep.","21912"
GAB,116.0,Gabon,"21072"
GIN,117.0,Guinea,"20999"
BWA,118.0,Botswana,"20356"
HTI,119.0,Haiti,"20254"
ARM,120.0,Armenia,"19513"
PSE,121.0,West Bank and Gaza,"19112"
ALB,122.0,Albania,"18916"
MLI,123.0,Mali,"18827"
BFA,124.0,Burkina Faso,"18820"
MOZ,125.0,Mozambique,"18407"
MLT,126.0,Malta,"18126"
BEN,127.0,Benin,"17397"
MNG,128.0,Mongolia,"17146"
JAM,129.0,Jamaica,"17098"
BRN,130.0,Brunei Darussalam,"16682"
COG,131.0,"Congo, Rep.","15817"
NIC,132.0,Nicaragua,"15672"
LAO,133.0,Lao PDR,"15469"
NER,134.0,Niger,"15342"
MDG,135.0,Madagascar,"15297"
GUY,136.0,Guyana,"14718"
MDA,137.0,Moldova,"14508"
AFG,138.0,Afghanistan,"14266"
MKD,139.0,North Macedonia,"13563"
RWA,140.0,Rwanda,"13311"
MWI,141.0,Malawi,"13165"
MUS,142.0,Mauritius,"12949"
NAM,143.0,Namibia,"12915"
BHS,144.0,"Bahamas, The","12897"
TCD,145.0,Chad,"12704"
GNQ,146.0,Equatorial Guinea,"12030"
CHI,147.0,Channel Islands,"11736"
KGZ,148.0,Kyrgyz Republic,"11544"
TJK,149.0,Tajikistan,"10492"
SOM,150.0,Somalia,"10420"
MRT,151.0,Mauritania,"9781"
NCL,152.0,New Caledonia,"9623"
XKX,153.0,Kosovo,"9409"
SYR,154.0,Syrian Arab Republic,"8970"
MCO,155.0,Monaco,"8784"
TGO,156.0,Togo,"8341"
LIE,157.0,Liechtenstein,"7710"
BMU,158.0,Bermuda,"7546"
CYM,159.0,Cayman Islands,"6845"
IMN,160.0,Isle of Man,"6684"
MNE,161.0,Montenegro,"6230"
MDV,162.0,Maldives,"6171"
GUM,163.0,Guam,"6123"
PYF,164.0,French Polynesia,"5815"
BRB,165.0,Barbados,"5700"
FJI,166.0,Fiji,"4980"
SWZ,167.0,Eswatini,"4791"
VIR,168.0,Virgin Islands (U.S.),"4444"
SLE,169.0,Sierra Leone,"4095"
LBR,170.0,Liberia,"4001"
SUR,171.0,Suriname,"3621"
FRO,172.0,Faroe Islands,"3556"
ABW,173.0,Aruba,"3545"
DJI,174.0,Djibouti,"3515"
AND,175.0,Andorra,"3352"
BDI,176.0,Burundi,"3339"
GRL,177.0,Greenland,"3236"
TLS,178.0,Timor-Leste,"3205"
CUW,179.0,Curaçao,"3075"
BLZ,180.0,Belize,"2831"
BTN,181.0,Bhutan,"2768"
CAF,182.0,Central African Republic,"2383"
LCA,183.0,St. Lucia,"2344"
LSO,184.0,Lesotho,"2237"
CPV,185.0,Cabo Verde,"2227"
GMB,186.0,"Gambia, The","2187"
ATG,187.0,Antigua and Barbuda,"1868"
SMR,188.0,San Marino,"1855"
GNB,189.0,Guinea-Bissau,"1634"
SLB,190.0,Solomon Islands,"1597"
SYC,191.0,Seychelles,"1588"
SXM,192.0,Sint Maarten (Dutch part),"1537"
COM,193.0,Comoros,"1243"
GRD,194.0,Grenada,"1215"
TCA,195.0,Turks and Caicos Islands,"1139"
VUT,196.0,Vanuatu,"1056"
KNA,197.0,St. Kitts and Nevis,966
VCT,198.0,St. Vincent and the Grenadines,949
ASM,199.0,American Samoa,871
MNP,200.0,Northern Mariana Islands,858
WSM,201.0,Samoa,833
MAF,202.0,St. Martin (French part),649
DMA,203.0,Dominica,607
STP,204.0,São Tomé and Principe,543
TON,205.0,Tonga,469
FSM,206.0,"Micronesia, Fed. Sts.",424
MHL,207.0,Marshall Islands,259
PLW,208.0,Palau,233
KIR,209.0,Kiribati,223
NRU,210.0,Nauru,152
TUV,211.0,Tuvalu,59
VGB,,British Virgin Islands,
ERI,,Eritrea,
GIB,,Gibraltar,
PRK,,"Korea, Dem. People's Rep.",
SSD,,South Sudan,
VEN,,"Venezuela, RB",
WLD,,World,"100879561"
EAS,,East Asia & Pacific,"30712490"
ECS,,Europe & Central Asia,"25344210"
LCN,,Latin America & Caribbean,"6302490"
MEA,,Middle East & North Africa,"4426622"
NAC,,North America,"27608729"
SAS,,South Asia,"4390348"
SSF,,Sub-Saharan Africa,"2060531"
LIC,,Low income,"528125"
LMC,,Lower middle income,"8171521"
UMC,,Upper middle income,"30110930"
HIC,,High income,"61729512"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
